"date","transaction"
"20/11/2022","3078"
"21/11/2022","1960"
"22/11/2022","2249"
"23/11/2022","2283"
"24/11/2022","2464"
"25/11/2022","2927"
"26/11/2022","3673"
"27/11/2022","3576"
"28/11/2022","2449"
"29/11/2022","2666"
"30/11/2022","2683"
"1/12/2022 ","3795"
"2/12/2022 ","3556"
"3/12/2022 ","3791"
"4/12/2022 ","3310"
"5/12/2022 ","2213"
"6/12/2022 ","2417"
"7/12/2022 ","2612"
"8/12/2022 ","2828"
"9/12/2022 ","2787"
"10/12/2022","3604"
"11/12/2022","3872"
"12/12/2022","2361"
"13/12/2022","2641"
"14/12/2022","2652"
"15/12/2022","2855"
"16/12/2022","3151"
"17/12/2022","3649"
"18/12/2022","2967"
"19/12/2022","2624"
"20/12/2022","3049"
"21/12/2022","3233"
"22/12/2022","3203"
"23/12/2022","3559"
"24/12/2022","3726"
"25/12/2022","3324"
"26/12/2022","3158"
"27/12/2022","3490"
"28/12/2022","3586"
"29/12/2022","3724"
"30/12/2022","3679"
"31/12/2022","3246"
"1/01/2023 ","4174"
"2/01/2023 ","3046"
"3/01/2023 ","3214"
"4/01/2023 ","3166"
"5/01/2023 ","3478"
"6/01/2023 ","4095"
"7/01/2023 ","4760"
"8/01/2023 ","4535"
"9/01/2023 ","2788"
"10/01/2023","1442"
